year,sector_key,total_employment_thousands,resident_employment_thousands,gdp_current_million_sgd,nonresident_employment_thousands,data_quality_flag,level,parent_sector_key,ssic_2020_code,nonresident_share_pct,gdp_per_worker_thousand_sgd,yoy_total_change_pct,yoy_nonresident_change_pct,yoy_resident_change_pct
2024,mfg_electronics,78.3,,,,,2,manufacturing,C26,,,-1.01,,
2025,mfg_electronics,79.4,,,,,2,manufacturing,C26,,,1.4,,
2009,mfg_food_bev,34.0,,,,,2,manufacturing,C10-12,,,,,
2010,mfg_food_bev,36.0,,,,,2,manufacturing,C10-12,,,5.88,,
2011,mfg_food_bev,36.2,,,,,2,manufacturing,C10-12,,,0.56,,
2012,mfg_food_bev,37.8,,,,,2,manufacturing,C10-12,,,4.42,,
2013,mfg_food_bev,41.2,,,,,2,manufacturing,C10-12,,,8.99,,
2014,mfg_food_bev,43.2,,,,,2,manufacturing,C10-12,,,4.85,,
2015,mfg_food_bev,45.5,,,,,2,manufacturing,C10-12,,,5.32,,
2016,mfg_food_bev,46.7,,,,,2,manufacturing,C10-12,,,2.64,,
2017,mfg_food_bev,49.8,,,,,2,manufacturing,C10-12,,,6.64,,
2018,mfg_food_bev,51.4,,,,,2,manufacturing,C10-12,,,3.21,,
2019,mfg_food_bev,52.5,,,,,2,manufacturing,C10-12,,,2.14,,
2020,mfg_food_bev,50.0,,,,,2,manufacturing,C10-12,,,-4.76,,
2021,mfg_food_bev,50.8,,,,,2,manufacturing,C10-12,,,1.6,,
2022,mfg_food_bev,58.9,,,,,2,manufacturing,C10-12,,,15.94,,
2023,mfg_food_bev,62.2,,,,,2,manufacturing,C10-12,,,5.6,,
2024,mfg_food_bev,64.3,,,,,2,manufacturing,C10-12,,,3.38,,
2025,mfg_food_bev,68.0,,,,,2,manufacturing,C10-12,,,5.75,,
2009,mfg_metal_machinery,101.2,,,,,2,manufacturing,"C25,28",,,,,
2010,mfg_metal_machinery,105.4,,,,,2,manufacturing,"C25,28",,,4.15,,
2011,mfg_metal_machinery,110.6,,,,,2,manufacturing,"C25,28",,,4.93,,
2012,mfg_metal_machinery,110.8,,,,,2,manufacturing,"C25,28",,,0.18,,
2013,mfg_metal_machinery,110.9,,,,,2,manufacturing,"C25,28",,,0.09,,
2014,mfg_metal_machinery,112.1,,,,,2,manufacturing,"C25,28",,,1.08,,
2015,mfg_metal_machinery,107.2,,,,,2,manufacturing,"C25,28",,,-4.37,,
2016,mfg_metal_machinery,99.2,,,,,2,manufacturing,"C25,28",,,-7.46,,
2017,mfg_metal_machinery,99.9,,,,,2,manufacturing,"C25,28",,,0.71,,
2018,mfg_metal_machinery,97.8,,,,,2,manufacturing,"C25,28",,,-2.1,,
2019,mfg_metal_machinery,96.5,,,,,2,manufacturing,"C25,28",,,-1.33,,
2020,mfg_metal_machinery,89.9,,,,,2,manufacturing,"C25,28",,,-6.84,,
2021,mfg_metal_machinery,89.8,,,,,2,manufacturing,"C25,28",,,-0.11,,
2022,mfg_metal_machinery,92.8,,,,,2,manufacturing,"C25,28",,,3.34,,
2023,mfg_metal_machinery,94.0,,,,,2,manufacturing,"C25,28",,,1.29,,
2024,mfg_metal_machinery,91.4,,,,,2,manufacturing,"C25,28",,,-2.77,,
2025,mfg_metal_machinery,91.4,,,,,2,manufacturing,"C25,28",,,0.0,,
2009,mfg_other,57.6,,,,,2,manufacturing,,,,,,
2010,mfg_other,59.9,,,,,2,manufacturing,,,,3.99,,
2011,mfg_other,60.9,,,,,2,manufacturing,,,,1.67,,
2012,mfg_other,61.6,,,,,2,manufacturing,,,,1.15,,
2013,mfg_other,62.4,,,,,2,manufacturing,,,,1.3,,
2014,mfg_other,63.7,,,,,2,manufacturing,,,,2.08,,
2015,mfg_other,63.7,,,,,2,manufacturing,,,,0.0,,
2016,mfg_other,63.3,,,,,2,manufacturing,,,,-0.63,,
2017,mfg_other,62.9,,,,,2,manufacturing,,,,-0.63,,
2018,mfg_other,63.6,,,,,2,manufacturing,,,,1.11,,
2019,mfg_other,63.3,,,,,2,manufacturing,,,,-0.47,,
2020,mfg_other,59.2,,,,,2,manufacturing,,,,-6.48,,
2021,mfg_other,59.9,,,,,2,manufacturing,,,,1.18,,
2022,mfg_other,61.3,,,,,2,manufacturing,,,,2.34,,
2023,mfg_other,64.1,,,,,2,manufacturing,,,,4.57,,
2024,mfg_other,58.7,,,,,2,manufacturing,,,,-8.42,,
2025,mfg_other,57.6,,,,,2,manufacturing,,,,-1.87,,
2009,mfg_paper_rubber,37.3,,,,,2,manufacturing,"C17, 18, 22",,,,,
2010,mfg_paper_rubber,40.8,,,,,2,manufacturing,"C17, 18, 22",,,9.38,,
2011,mfg_paper_rubber,40.3,,,,,2,manufacturing,"C17, 18, 22",,,-1.23,,
2012,mfg_paper_rubber,38.4,,,,,2,manufacturing,"C17, 18, 22",,,-4.71,,
2013,mfg_paper_rubber,37.7,,,,,2,manufacturing,"C17, 18, 22",,,-1.82,,
2014,mfg_paper_rubber,36.8,,,,,2,manufacturing,"C17, 18, 22",,,-2.39,,
2015,mfg_paper_rubber,34.4,,,,,2,manufacturing,"C17, 18, 22",,,-6.52,,
2016,mfg_paper_rubber,32.5,,,,,2,manufacturing,"C17, 18, 22",,,-5.52,,
2017,mfg_paper_rubber,30.9,,,,,2,manufacturing,"C17, 18, 22",,,-4.92,,
2018,mfg_paper_rubber,29.8,,,,,2,manufacturing,"C17, 18, 22",,,-3.56,,
2019,mfg_paper_rubber,28.9,,,,,2,manufacturing,"C17, 18, 22",,,-3.02,,
2020,mfg_paper_rubber,26.6,,,,,2,manufacturing,"C17, 18, 22",,,-7.96,,
2021,mfg_paper_rubber,25.6,,,,,2,manufacturing,"C17, 18, 22",,,-3.76,,
2022,mfg_paper_rubber,26.5,,,,,2,manufacturing,"C17, 18, 22",,,3.52,,
2023,mfg_paper_rubber,25.9,,,,,2,manufacturing,"C17, 18, 22",,,-2.26,,
2024,mfg_paper_rubber,24.6,,,,,2,manufacturing,"C17, 18, 22",,,-5.02,,
2025,mfg_paper_rubber,24.1,,,,,2,manufacturing,"C17, 18, 22",,,-2.03,,
2009,mfg_petrochem,57.1,,,,,2,manufacturing,C19-21,,,,,
2010,mfg_petrochem,53.0,,,,,2,manufacturing,C19-21,,,-7.18,,
2011,mfg_petrochem,52.0,,,,,2,manufacturing,C19-21,,,-1.89,,
2012,mfg_petrochem,63.9,,,,,2,manufacturing,C19-21,,,22.88,,
2013,mfg_petrochem,64.6,,,,,2,manufacturing,C19-21,,,1.1,,
2014,mfg_petrochem,61.1,,,,,2,manufacturing,C19-21,,,-5.42,,
2015,mfg_petrochem,57.5,,,,,2,manufacturing,C19-21,,,-5.89,,
2016,mfg_petrochem,62.8,,,,,2,manufacturing,C19-21,,,9.22,,
2017,mfg_petrochem,59.1,,,,,2,manufacturing,C19-21,,,-5.89,,
2018,mfg_petrochem,62.3,,,,,2,manufacturing,C19-21,,,5.41,,
2019,mfg_petrochem,63.1,,,,,2,manufacturing,C19-21,,,1.28,,
2020,mfg_petrochem,58.8,,,,,2,manufacturing,C19-21,,,-6.81,,
2021,mfg_petrochem,63.1,,,,,2,manufacturing,C19-21,,,7.31,,
2022,mfg_petrochem,74.9,,,,,2,manufacturing,C19-21,,,18.7,,
2023,mfg_petrochem,75.5,,,,,2,manufacturing,C19-21,,,0.8,,
2024,mfg_petrochem,79.2,,,,,2,manufacturing,C19-21,,,4.9,,
2025,mfg_petrochem,81.4,,,,,2,manufacturing,C19-21,,,2.78,,
2009,mfg_transport_equip,133.5,,,,,2,manufacturing,C29-30,,,,,
2010,mfg_transport_equip,124.2,,,,,2,manufacturing,C29-30,,,-6.97,,
2011,mfg_transport_equip,130.3,,,,,2,manufacturing,C29-30,,,4.91,,
2012,mfg_transport_equip,130.7,,,,,2,manufacturing,C29-30,,,0.31,,
2013,mfg_transport_equip,133.7,,,,,2,manufacturing,C29-30,,,2.3,,
2014,mfg_transport_equip,130.4,,,,,2,manufacturing,C29-30,,,-2.47,,
2015,mfg_transport_equip,120.3,,,,,2,manufacturing,C29-30,,,-7.75,,
2016,mfg_transport_equip,111.3,,,,,2,manufacturing,C29-30,,,-7.48,,
2017,mfg_transport_equip,94.5,,,,,2,manufacturing,C29-30,,,-15.09,,
2018,mfg_transport_equip,91.6,,,,,2,manufacturing,C29-30,,,-3.07,,
2019,mfg_transport_equip,94.9,,,,,2,manufacturing,C29-30,,,3.6,,
2020,mfg_transport_equip,83.6,,,,,2,manufacturing,C29-30,,,-11.91,,
2021,mfg_transport_equip,79.9,,,,,2,manufacturing,C29-30,,,-4.43,,
2022,mfg_transport_equip,85.3,,,,,2,manufacturing,C29-30,,,6.76,,
2023,mfg_transport_equip,86.0,,,,,2,manufacturing,C29-30,,,0.82,,
2024,mfg_transport_equip,89.6,,,,,2,manufacturing,C29-30,,,4.19,,
2025,mfg_transport_equip,92.6,,,,,2,manufacturing,C29-30,,,3.35,,
2009,others,21.6,20.8,,0.8000000000000007,,1,,"A, B, D, E",3.7,,,,
2010,others,22.0,37.5,,-15.5,NEGATIVE_DERIVED: total(Dec admin) < resident(Jun survey); timing/methodology mismatch,1,,"A, B, D, E",-70.45,,1.85,-2037.5,80.29
2011,others,22.8,23.5,,-0.6999999999999993,NEGATIVE_DERIVED: total(Dec admin) < resident(Jun survey); timing/methodology mismatch,1,,"A, B, D, E",-3.07,,3.64,-95.48,-37.33
2012,others,24.5,26.4,,-1.8999999999999984,NEGATIVE_DERIVED: total(Dec admin) < resident(Jun survey); timing/methodology mismatch,1,,"A, B, D, E",-7.76,,7.46,171.43,12.34
2013,others,26.2,26.8,,-0.6000000000000014,NEGATIVE_DERIVED: total(Dec admin) < resident(Jun survey); timing/methodology mismatch,1,,"A, B, D, E",-2.29,,6.94,-68.42,1.52
2014,others,26.9,24.8,,2.099999999999998,,1,,"A, B, D, E",7.81,,2.67,-450.0,-7.46
2015,others,27.2,23.2,,4.0,,1,,"A, B, D, E",14.71,,1.12,90.48,-6.45
2016,others,27.0,20.0,,7.0,,1,,"A, B, D, E",25.93,,-0.74,75.0,-13.79
2017,others,26.4,21.7,,4.699999999999999,,1,,"A, B, D, E",17.8,,-2.22,-32.86,8.5
2018,others,26.2,21.6,,4.599999999999998,,1,,"A, B, D, E",17.56,,-0.76,-2.13,-0.46
2019,others,26.1,23.5,,2.6000000000000014,,1,,"A, B, D, E",9.96,,-0.38,-43.48,8.8
2020,others,26.0,21.2,,4.800000000000001,,1,,"A, B, D, E",18.46,,-0.38,84.62,-9.79
2021,others,24.3,23.4,,0.9000000000000021,,1,,"A, B, D, E",3.7,,-6.54,-81.25,10.38
2022,others,24.4,21.9,,2.5,,1,,"A, B, D, E",10.25,,0.41,177.78,-6.41
2023,others,24.8,21.3,,3.5,,1,,"A, B, D, E",14.11,,1.64,40.0,-2.74
2024,others,26.3,22.2,,4.100000000000001,,1,,"A, B, D, E",15.59,,6.05,17.14,4.23
2025,others,26.5,19.5,,7.0,,1,,"A, B, D, E",26.42,,0.76,70.73,-12.16
2009,prof_arch_eng,52.2,,,,,3,professional,M71,,,,,
2010,prof_arch_eng,55.2,,,,,3,professional,M71,,,5.75,,
2011,prof_arch_eng,58.4,,,,,3,professional,M71,,,5.8,,
2012,prof_arch_eng,61.7,,,,,3,professional,M71,,,5.65,,
2013,prof_arch_eng,65.1,,,,,3,professional,M71,,,5.51,,
2014,prof_arch_eng,65.7,,,,,3,professional,M71,,,0.92,,
2015,prof_arch_eng,64.6,,,,,3,professional,M71,,,-1.67,,
2016,prof_arch_eng,62.2,,,,,3,professional,M71,,,-3.72,,
2017,prof_arch_eng,61.0,,,,,3,professional,M71,,,-1.93,,
2018,prof_arch_eng,62.0,,,,,3,professional,M71,,,1.64,,
2019,prof_arch_eng,63.0,,,,,3,professional,M71,,,1.61,,
2020,prof_arch_eng,61.7,,,,,3,professional,M71,,,-2.06,,
2021,prof_arch_eng,62.4,,,,,3,professional,M71,,,1.13,,
2022,prof_arch_eng,66.0,,,,,3,professional,M71,,,5.77,,
2023,prof_arch_eng,65.6,,,,,3,professional,M71,,,-0.61,,
2024,prof_arch_eng,65.5,,,,,3,professional,M71,,,-0.15,,
2025,prof_arch_eng,64.9,,,,,3,professional,M71,,,-0.92,,
2009,prof_legal_acct,79.6,,,,,3,professional,M69-70,,,,,
2010,prof_legal_acct,86.7,,,,,3,professional,M69-70,,,8.92,,
2011,prof_legal_acct,90.4,,,,,3,professional,M69-70,,,4.27,,
2012,prof_legal_acct,94.1,,,,,3,professional,M69-70,,,4.09,,
2013,prof_legal_acct,102.5,,,,,3,professional,M69-70,,,8.93,,
2014,prof_legal_acct,108.9,,,,,3,professional,M69-70,,,6.24,,
2015,prof_legal_acct,113.4,,,,,3,professional,M69-70,,,4.13,,
2016,prof_legal_acct,116.0,,,,,3,professional,M69-70,,,2.29,,
2017,prof_legal_acct,119.6,,,,,3,professional,M69-70,,,3.1,,
2018,prof_legal_acct,125.2,,,,,3,professional,M69-70,,,4.68,,
2019,prof_legal_acct,132.7,,,,,3,professional,M69-70,,,5.99,,
2020,prof_legal_acct,132.7,,,,,3,professional,M69-70,,,0.0,,
2021,prof_legal_acct,140.4,,,,,3,professional,M69-70,,,5.8,,
2022,prof_legal_acct,149.4,,,,,3,professional,M69-70,,,6.41,,
2023,prof_legal_acct,155.2,,,,,3,professional,M69-70,,,3.88,,
2024,prof_legal_acct,160.3,,,,,3,professional,M69-70,,,3.29,,
2025,prof_legal_acct,160.1,,,,,3,professional,M69-70,,,-0.12,,
2009,prof_other,39.9,,,,,3,professional,M72-75,,,,,
2010,prof_other,42.3,,,,,3,professional,M72-75,,,6.02,,
2011,prof_other,45.0,,,,,3,professional,M72-75,,,6.38,,
2012,prof_other,48.1,,,,,3,professional,M72-75,,,6.89,,
2013,prof_other,51.1,,,,,3,professional,M72-75,,,6.24,,
2014,prof_other,56.8,,,,,3,professional,M72-75,,,11.15,,
2015,prof_other,56.3,,,,,3,professional,M72-75,,,-0.88,,
2016,prof_other,56.4,,,,,3,professional,M72-75,,,0.18,,
2017,prof_other,57.5,,,,,3,professional,M72-75,,,1.95,,
2018,prof_other,57.8,,,,,3,professional,M72-75,,,0.52,,
2019,prof_other,59.4,,,,,3,professional,M72-75,,,2.77,,
2020,prof_other,57.8,,,,,3,professional,M72-75,,,-2.69,,
2021,prof_other,58.6,,,,,3,professional,M72-75,,,1.38,,
2022,prof_other,62.9,,,,,3,professional,M72-75,,,7.34,,
2023,prof_other,63.8,,,,,3,professional,M72-75,,,1.43,,
2024,prof_other,62.4,,,,,3,professional,M72-75,,,-2.19,,
2025,prof_other,60.7,,,,,3,professional,M72-75,,,-2.72,,
2009,professional,171.7,109.6,16662.0,62.1,,2,services,M69-75,36.17,97.04,,,
2010,professional,184.2,112.5,18280.7,71.69999999999999,,2,services,M69-75,38.93,99.24,7.28,15.46,2.65
2011,professional,193.8,124.8,19672.5,69.00000000000001,,2,services,M69-75,35.6,101.51,5.21,-3.77,10.93
2012,professional,203.9,135.0,20982.3,68.9,,2,services,M69-75,33.79,102.9,5.21,-0.14,8.17
2013,professional,218.7,142.8,21671.4,75.89999999999998,,2,services,M69-75,34.71,99.09,7.26,10.16,5.78
2014,professional,231.3,153.0,22104.8,78.30000000000001,,2,services,M69-75,33.85,95.57,5.76,3.16,7.14
2015,professional,234.2,166.6,24218.6,67.6,,2,services,M69-75,28.86,103.41,1.25,-13.67,8.89
2016,professional,234.6,163.0,25391.9,71.6,,2,services,M69-75,30.52,108.23,0.17,5.92,-2.16
2017,professional,238.1,170.8,26605.9,67.29999999999998,,2,services,M69-75,28.27,111.74,1.49,-6.01,4.79
2018,professional,245.0,174.4,27470.6,70.6,,2,services,M69-75,28.82,112.12,2.9,4.9,2.11
2019,professional,255.1,181.5,30005.7,73.6,,2,services,M69-75,28.85,117.62,4.12,4.25,4.07
2020,professional,252.2,181.4,28268.1,70.79999999999998,,2,services,M69-75,28.07,112.09,-1.14,-3.8,-0.06
2021,professional,261.4,196.5,30735.8,64.89999999999998,,2,services,M69-75,24.83,117.58,3.65,-8.33,8.32
2022,professional,278.3,197.6,35244.5,80.70000000000002,,2,services,M69-75,29.0,126.64,6.47,24.35,0.56
2023,professional,284.6,199.8,37102.8,84.80000000000001,,2,services,M69-75,29.8,130.37,2.26,5.08,1.11
2024,professional,288.2,197.1,39397.6,91.1,,2,services,M69-75,31.61,136.7,1.26,7.43,-1.35
2025,professional,285.7,192.6,41806.5,93.1,,2,services,M69-75,32.59,146.33,-0.87,2.2,-2.28
2009,public_admin,119.4,,6418.7,,,4,public_admin_edu,O84,,53.76,,,
2010,public_admin,121.7,,7384.4,,,4,public_admin_edu,O84,,60.68,1.93,,
2011,public_admin,123.3,,8062.9,,,4,public_admin_edu,O84,,65.39,1.31,,
2012,public_admin,126.2,,8187.4,,,4,public_admin_edu,O84,,64.88,2.35,,
2013,public_admin,128.4,,9243.7,,,4,public_admin_edu,O84,,71.99,1.74,,
2014,public_admin,130.4,,9682.0,,,4,public_admin_edu,O84,,74.25,1.56,,
2015,public_admin,133.3,,10622.0,,,4,public_admin_edu,O84,,79.68,2.22,,
2016,public_admin,136.2,,11448.1,,,4,public_admin_edu,O84,,84.05,2.18,,
2017,public_admin,136.3,,12084.8,,,4,public_admin_edu,O84,,88.66,0.07,,
2018,public_admin,137.2,,12647.6,,,4,public_admin_edu,O84,,92.18,0.66,,
2019,public_admin,138.3,,13139.1,,,4,public_admin_edu,O84,,95.0,0.8,,
2020,public_admin,146.8,,13029.8,,,4,public_admin_edu,O84,,88.76,6.15,,
2021,public_admin,146.6,,14343.1,,,4,public_admin_edu,O84,,97.84,-0.14,,
2022,public_admin,146.3,,15235.0,,,4,public_admin_edu,O84,,104.14,-0.2,,
2023,public_admin,147.9,,15886.2,,,4,public_admin_edu,O84,,107.41,1.09,,
2024,public_admin,150.5,,16600.7,,,4,public_admin_edu,O84,,110.3,1.76,,
2025,public_admin,153.9,,17607.6,,,4,public_admin_edu,O84,,114.41,2.26,,
2009,public_admin_edu,195.3,236.3,,-41.0,NEGATIVE_DERIVED: total(Dec admin) < resident(Jun survey); timing/methodology mismatch,3,community_social,"O84, P85",-20.99,,,,
2010,public_admin_edu,203.2,266.7,,-63.5,NEGATIVE_DERIVED: total(Dec admin) < resident(Jun survey); timing/methodology mismatch,3,community_social,"O84, P85",-31.25,,4.05,54.88,12.87
2011,public_admin_edu,210.9,266.3,,-55.400000000000006,NEGATIVE_DERIVED: total(Dec admin) < resident(Jun survey); timing/methodology mismatch,3,community_social,"O84, P85",-26.27,,3.79,-12.76,-0.15
2012,public_admin_edu,218.9,275.1,,-56.20000000000002,NEGATIVE_DERIVED: total(Dec admin) < resident(Jun survey); timing/methodology mismatch,3,community_social,"O84, P85",-25.67,,3.79,1.44,3.3
2013,public_admin_edu,225.5,284.8,,-59.30000000000001,NEGATIVE_DERIVED: total(Dec admin) < resident(Jun survey); timing/methodology mismatch,3,community_social,"O84, P85",-26.3,,3.02,5.52,3.53
2014,public_admin_edu,234.4,285.2,,-50.79999999999998,NEGATIVE_DERIVED: total(Dec admin) < resident(Jun survey); timing/methodology mismatch,3,community_social,"O84, P85",-21.67,,3.95,-14.33,0.14
2015,public_admin_edu,239.4,290.7,,-51.29999999999998,NEGATIVE_DERIVED: total(Dec admin) < resident(Jun survey); timing/methodology mismatch,3,community_social,"O84, P85",-21.43,,2.13,0.98,1.93
2016,public_admin_edu,244.5,294.9,,-50.39999999999998,NEGATIVE_DERIVED: total(Dec admin) < resident(Jun survey); timing/methodology mismatch,3,community_social,"O84, P85",-20.61,,2.13,-1.75,1.44
2017,public_admin_edu,245.8,293.7,,-47.89999999999998,NEGATIVE_DERIVED: total(Dec admin) < resident(Jun survey); timing/methodology mismatch,3,community_social,"O84, P85",-19.49,,0.53,-4.96,-0.41
2018,public_admin_edu,249.6,296.9,,-47.29999999999998,NEGATIVE_DERIVED: total(Dec admin) < resident(Jun survey); timing/methodology mismatch,3,community_social,"O84, P85",-18.95,,1.55,-1.25,1.09
2019,public_admin_edu,253.5,304.3,,-50.80000000000001,NEGATIVE_DERIVED: total(Dec admin) < resident(Jun survey); timing/methodology mismatch,3,community_social,"O84, P85",-20.04,,1.56,7.4,2.49
2020,public_admin_edu,261.6,293.9,,-32.299999999999955,NEGATIVE_DERIVED: total(Dec admin) < resident(Jun survey); timing/methodology mismatch,3,community_social,"O84, P85",-12.35,,3.2,-36.42,-3.42
2021,public_admin_edu,263.7,315.6,,-51.900000000000034,NEGATIVE_DERIVED: total(Dec admin) < resident(Jun survey); timing/methodology mismatch,3,community_social,"O84, P85",-19.68,,0.8,60.68,7.38
2022,public_admin_edu,265.4,309.6,,-44.200000000000045,NEGATIVE_DERIVED: total(Dec admin) < resident(Jun survey); timing/methodology mismatch,3,community_social,"O84, P85",-16.65,,0.64,-14.84,-1.9
2023,public_admin_edu,268.2,305.6,,-37.400000000000034,NEGATIVE_DERIVED: total(Dec admin) < resident(Jun survey); timing/methodology mismatch,3,community_social,"O84, P85",-13.94,,1.06,-15.38,-1.29
2024,public_admin_edu,273.1,305.7,,-32.599999999999966,NEGATIVE_DERIVED: total(Dec admin) < resident(Jun survey); timing/methodology mismatch,3,community_social,"O84, P85",-11.94,,1.83,-12.83,0.03
